Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,url,icon
Bulbasaur,"['Grass', 'Poison']",318,45,49,49,65,65,45,https://pokemondb.net/pokedex/bulbasaur,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png
Ivysaur,"['Grass', 'Poison']",405,60,62,63,80,80,60,https://pokemondb.net/pokedex/ivysaur,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png
Venusaur,"['Grass', 'Poison']",525,80,82,83,100,100,80,https://pokemondb.net/pokedex/venusaur,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png
Charmander,"['Fire', '']",309,39,52,43,60,50,65,https://pokemondb.net/pokedex/charmander,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png
Charmeleon,"['Fire', '']",405,58,64,58,80,65,80,https://pokemondb.net/pokedex/charmeleon,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png
Charizard,"['Fire', 'Flying']",534,78,84,78,109,85,100,https://pokemondb.net/pokedex/charizard,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png
Squirtle,"['Water', '']",314,44,48,65,50,64,43,https://pokemondb.net/pokedex/squirtle,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png
Wartortle,"['Water', '']",405,59,63,80,65,80,58,https://pokemondb.net/pokedex/wartortle,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png
Blastoise,"['Water', '']",530,79,83,100,85,105,78,https://pokemondb.net/pokedex/blastoise,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png
Caterpie,"['Bug', '']",195,45,30,35,20,20,45,https://pokemondb.net/pokedex/caterpie,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png
Metapod,"['Bug', '']",205,50,20,55,25,25,30,https://pokemondb.net/pokedex/metapod,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png
Butterfree,"['Bug', 'Flying']",395,60,45,50,90,80,70,https://pokemondb.net/pokedex/butterfree,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png
Weedle,"['Bug', 'Poison']",195,40,35,30,20,20,50,https://pokemondb.net/pokedex/weedle,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png
Kakuna,"['Bug', 'Poison']",205,45,25,50,25,25,35,https://pokemondb.net/pokedex/kakuna,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png
Beedrill,"['Bug', 'Poison']",395,65,90,40,45,80,75,https://pokemondb.net/pokedex/beedrill,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png
Pidgey,"['Normal', 'Flying']",251,40,45,40,35,35,56,https://pokemondb.net/pokedex/pidgey,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png
Pidgeotto,"['Normal', 'Flying']",349,63,60,55,50,50,71,https://pokemondb.net/pokedex/pidgeotto,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png
Pidgeot,"['Normal', 'Flying']",479,83,80,75,70,70,101,https://pokemondb.net/pokedex/pidgeot,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png
Rattata,"['Normal', '']",253,30,56,35,25,35,72,https://pokemondb.net/pokedex/rattata,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png
Raticate,"['Normal', '']",413,55,81,60,50,70,97,https://pokemondb.net/pokedex/raticate,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png
Spearow,"['Normal', 'Flying']",262,40,60,30,31,31,70,https://pokemondb.net/pokedex/spearow,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png
Fearow,"['Normal', 'Flying']",442,65,90,65,61,61,100,https://pokemondb.net/pokedex/fearow,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png
Ekans,"['Poison', '']",288,35,60,44,40,54,55,https://pokemondb.net/pokedex/ekans,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png
Arbok,"['Poison', '']",448,60,95,69,65,79,80,https://pokemondb.net/pokedex/arbok,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png
Pikachu,"['Electric', '']",320,35,55,40,50,50,90,https://pokemondb.net/pokedex/pikachu,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png
Raichu,"['Electric', '']",485,60,90,55,90,80,110,https://pokemondb.net/pokedex/raichu,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png
Sandshrew,"['Ground', '']",300,50,75,85,20,30,40,https://pokemondb.net/pokedex/sandshrew,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png
Sandslash,"['Ground', '']",450,75,100,110,45,55,65,https://pokemondb.net/pokedex/sandslash,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png
Nidoran♀,"['Poison', '']",275,55,47,52,40,40,41,https://pokemondb.net/pokedex/nidoran-f,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png
Nidorina,"['Poison', '']",365,70,62,67,55,55,56,https://pokemondb.net/pokedex/nidorina,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png
Nidoqueen,"['Poison', 'Ground']",505,90,92,87,75,85,76,https://pokemondb.net/pokedex/nidoqueen,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png
Nidoran♂,"['Poison', '']",273,46,57,40,40,40,50,https://pokemondb.net/pokedex/nidoran-m,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png
Nidorino,"['Poison', '']",365,61,72,57,55,55,65,https://pokemondb.net/pokedex/nidorino,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png
Nidoking,"['Poison', 'Ground']",505,81,102,77,85,75,85,https://pokemondb.net/pokedex/nidoking,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png
Clefairy,"['Fairy', '']",323,70,45,48,60,65,35,https://pokemondb.net/pokedex/clefairy,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png
Clefable,"['Fairy', '']",483,95,70,73,95,90,60,https://pokemondb.net/pokedex/clefable,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png
Vulpix,"['Fire', '']",299,38,41,40,50,65,65,https://pokemondb.net/pokedex/vulpix,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png
Ninetales,"['Fire', '']",505,73,76,75,81,100,100,https://pokemondb.net/pokedex/ninetales,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png
Jigglypuff,"['Normal', 'Fairy']",270,115,45,20,45,25,20,https://pokemondb.net/pokedex/jigglypuff,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png
Wigglytuff,"['Normal', 'Fairy']",435,140,70,45,85,50,45,https://pokemondb.net/pokedex/wigglytuff,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png
Zubat,"['Poison', 'Flying']",245,40,45,35,30,40,55,https://pokemondb.net/pokedex/zubat,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png
Golbat,"['Poison', 'Flying']",455,75,80,70,65,75,90,https://pokemondb.net/pokedex/golbat,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png
Oddish,"['Grass', 'Poison']",320,45,50,55,75,65,30,https://pokemondb.net/pokedex/oddish,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png
Gloom,"['Grass', 'Poison']",395,60,65,70,85,75,40,https://pokemondb.net/pokedex/gloom,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png
Vileplume,"['Grass', 'Poison']",490,75,80,85,110,90,50,https://pokemondb.net/pokedex/vileplume,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png
Paras,"['Bug', 'Grass']",285,35,70,55,45,55,25,https://pokemondb.net/pokedex/paras,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png
Parasect,"['Bug', 'Grass']",405,60,95,80,60,80,30,https://pokemondb.net/pokedex/parasect,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png
Venonat,"['Bug', 'Poison']",305,60,55,50,40,55,45,https://pokemondb.net/pokedex/venonat,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png
Venomoth,"['Bug', 'Poison']",450,70,65,60,90,75,90,https://pokemondb.net/pokedex/venomoth,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png
